Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
207008,bluerhino,Rite Aid #10310,,WINDSOR,VT,,US,+1 802-674-2334,,,Blue Rhino,Q65681213
191675,bluerhino,Price Chopper #177,,Windsor,VT,,US,+1 802-674-3470,,,Blue Rhino,Q65681213
207132,bluerhino,Aubuchon Hardware #39,,Windsor,VT,,US,+1 802-674-9349,,,Blue Rhino,Q65681213
96779,bluerhino,Cumberland Farms #8005,,Windsor,VT,,US,+1 802-674-9194,,,Blue Rhino,Q65681213
ATM-1545,citizens_us,,,Windsor,VT,,US,,,,Citizens,Q5122694
520409,cumberland_farms_us,Cumberland Farms,,WINDSOR,VT,,US,+1 802-674-9194,https://www.cumberlandfarms.com/find-us/generic-store-page/?id=008005,,Cumberland Farms,Q1143685
520409,eg_america_us,Cumberland Farms,,WINDSOR,VT,,US,+1 802-674-9194,https://www.cumberlandfarms.com/find-us/generic-store-page/?id=008005,,Cumberland Farms,Q1143685
https://local.fedex.com/#25228395,fedex,,,Windsor,VT,,US,+1 800-463-3339,https://local.fedex.com/en-us/vt/windsor/lebad,,FedEx,Q459477
177,golub_corporation_us,Price Chopper Windsor,,Windsor,VT,,US,+1 802-674-3470,https://www.pricechopper.com/stores/vt/windsor/price-chopper-177.html,Mo-Su 06:00-23:00,Price Chopper,Q7242574
280,gulf_pr_us,ASCUTNEY MARKET,,Windsor,VT,,US,+1 802-674-9595,https://www.gulfoil.com/ascutney-market,,Gulf Oil,Q5617505
https://locations.mtb.com/#3027976,mt_bank_us,M&T Bank,,,VT,,US,+1 802-674-2131,https://locations.mtb.com/vt/windsor/bank-branches-and-atms-windsor-vt-8175.html,Mo-Th 09:00-16:00; Fr 09:00-17:00,M&T Bank,Q3272257
10310,rite_aid_us,Rite Aid #10310 Windsor,,Windsor,VT,,US,+1 802-674-2334,https://locations2.riteaid.com.yext-cdn.com/vt/windsor/52-main-st.html,Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 09:00-17:00,Rite Aid,Q3433273
1387950,usps,WINDSOR,,WINDSOR,VT,,US,+1 802-674-5822,,Mo-Fr 08:30-17:00; Sa 09:00-12:00,United States Postal Service,Q668687
0508900006,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,4 CLOUGH AVE,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
0508900009,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,57 STATE ST,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
0508900014,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,2725 US ROUTE 5 N,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
0508900012,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,57 MAIN ST,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
0508900015,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,57 MAIN ST,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
0508900016,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,57 MAIN ST,WINDSOR,VT,,US,,,,United States Postal Service,Q668687
,visa,,,WINDSOR,VT,,US,,,,,
