Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
165264,bluerhino,Family Dollar #02912,,Park Falls,WI,,US,+1 715-403-5289,,,Blue Rhino,Q65681213
144707,bluerhino,Park Falls Super One Foods #181533,,Park Falls,WI,,US,+1 715-762-4272,,,Blue Rhino,Q65681213
31532615091305455200100000000000,bp,BP,,Park Falls,WI,,US,+1 715-762-2634,,Mo-Th 06:00-22:00; Fr-Sa 06:00-23:00; Su 06:00-22:00,BP,Q152057
35238928253075455200100000000000,bp,Amoco,,Park Falls,WI,,US,+1 715-744-2700,,Mo-Su 05:00-23:00,BP,Q152057
57339,citi,ATM FORWARD BANK,,Park Falls,WI,,US,,,,Citibank,Q857063
57338,citi,ATM FORWARD BANK,,Park Falls,WI,,US,,,,Citibank,Q857063
57340,citi,ATM FORWARD BANK,,Park Falls,WI,,US,,,,Citibank,Q857063
62414,citi,ATM Kwik Trip #138-1,,Park Falls,WI,,US,,,,Citibank,Q857063
62415,citi,ATM Kwik Trip #138-2,,Park Falls,WI,,US,,,,Citibank,Q857063
67252,citi,ATM Park Falls,,Park Falls,WI,,US,,,,Citibank,Q857063
35430,citi,ATM ASSOCIATED BANK,,Park Falls,WI,,US,,,,Citibank,Q857063
https://local.fedex.com/#25235868,fedex,,,Park Falls,WI,,US,+1 800-463-3339,https://local.fedex.com/en-us/wi/park-falls/rhiaf,,FedEx,Q459477
46883,h_r_block,H&R Block,,Park Falls,WI,,US,+1 715-762-3636,https://www.hrblock.com/local-tax-offices/wisconsin/park-falls/364-division-st/46883/,,H&R Block,Q5627799
https://locations.oreillyauto.com/wi/parkfalls/check-engine-light-testing-4986.html,oreilly,Your Park Falls O'Reilly Auto Parts Store,,Park Falls,WI,,US,+1 715-762-1533,https://locations.oreillyauto.com/wi/parkfalls/check-engine-light-testing-4986.html,Mo-Sa 07:30-20:00; Su 08:30-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/wi/parkfalls/wiper-installation-4986.html,oreilly,Your Park Falls O'Reilly Auto Parts Store,,Park Falls,WI,,US,+1 715-762-1533,https://locations.oreillyauto.com/wi/parkfalls/wiper-installation-4986.html,Mo-Sa 07:30-20:00; Su 08:30-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/wi/parkfalls/battery-testing-4986.html,oreilly,Your Park Falls O'Reilly Auto Parts Store,,Park Falls,WI,,US,+1 715-762-1533,https://locations.oreillyauto.com/wi/parkfalls/battery-testing-4986.html,Mo-Sa 07:30-20:00; Su 08:30-18:00,O'Reilly Auto Parts,Q7071951
https://locations.oreillyauto.com/wi/parkfalls/autopartes-4986.html,oreilly,Tu tienda O'Reilly Auto Parts en Park Falls,,Park Falls,WI,,US,+1 715-762-1533,https://locations.oreillyauto.com/wi/parkfalls/autopartes-4986.html,Mo-Sa 07:30-20:00; Su 08:30-18:00,O'Reilly Auto Parts,Q7071951
https://restaurants.subway.com/#14907368,subway,Subway,,Park Falls Price,WI,,US,+1 715-762-4057,https://restaurants.subway.com/united-states/wi/park-falls/1114-s-4th-ave,Mo-Su 09:00-22:00,Subway,Q244457
