Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
187849,bluerhino,Family Dollar #12109,,Bradshaw,WV,,US,+1 304-967-7320,,,Blue Rhino,Q65681213
122122,bluerhino,Little General #5400,,Bradshaw,WV,,US,+1 304-967-7212,,,Blue Rhino,Q65681213
6173,dollar_general,Dollar General,,Bradshaw,WV,,US,+1 304-967-2757,https://www.dollargeneral.com/store-directory/wv/bradshaw/6173,Mo-Su 08:00-22:00,Dollar General,Q145168
200313713,exxonmobil,LG #5400 BRADSHAW,,BRADSHAW,WV,,US,+1 304-967-7212,https://www.exxon.com/en/find-station/exxon-bradshaw-wv-lg5400bradshaw-200313713,Mo-Th 05:00-23:00; Fr-Sa 05:00-00:00; Su 08:00-23:00,Exxon,Q109675651
32109,family_dollar_us,FAMILY DOLLAR #12109,,Bradshaw,WV,,US,+1 681-491-1031,https://www.familydollar.com/locations/wv/bradshaw/32109/,Mo-Su 09:00-21:00,Family Dollar,Q5433101
https://restaurants.subway.com/#14984039,subway,Subway BP Gas Station/C-Store,,Bradshaw Logan,WV,,US,+1 304-967-7217,https://restaurants.subway.com/united-states/wv/bradshaw/rte-80,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00,Subway,Q244457
1355644,usps,BRADSHAW,,BRADSHAW,WV,,US,+1 304-967-7356,,"Mo-Fr 09:00-12:00,13:00-16:00; Sa 09:00-11:30",United States Postal Service,Q668687
2481700000,usps_collection_boxes,USPS COLLECTION BOX - BLUE BOX,58 MOUNTAINEER HWY,BRADSHAW,WV,,US,,,,United States Postal Service,Q668687
2481700001,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,58 MOUNTAINEER HWY,BRADSHAW,WV,,US,,,,United States Postal Service,Q668687
2481700003,usps_collection_boxes,USPS COLLECTION BOX - PO LOBBY,58 MOUNTAINEER HWY,BRADSHAW,WV,,US,,,,United States Postal Service,Q668687
,visa,,,BRADSHAW,WV,,US,,,,,
,visa,,,BRADSHAW,WV,,US,,,,,
,visa,,,BRADSHAW,WV,,US,,,,,
,visa,,,BRADSHAW,WV,,US,,,,,
