Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72482232,moneygram,HALK BANK,,YASHNAABAD,,,UZ,+998 71 230 45 39,,Mo-Fr 08:00-17:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
72482245,moneygram,HALK BANK,,YASHNAABAD,,,UZ,+998 71 297 48 68,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
73633873,moneygram,HAMKORBANK - BUYUK IPAK YULI OFIS BANKOV,,TASHKENT,,,UZ,+998 71 296 59 73,,Mo-Fr 07:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73863465,moneygram,HAMKORBANK - KUYLYUK OFIS BANKOVSKIH USL,,TASHKENT,,,UZ,+998 71 291 15 84,,Mo-Fr 07:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
73960300,moneygram,NBU - BANKING SERVICES CENTER YANGIABAD,,TASHKENT,,,UZ,+998 71 294 68 86,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
65491997,moneygram,HAMKORBANK,,TASHKENT,,,UZ,+998 71 294 55 88,,Mo-Sa 06:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
65492239,moneygram,HAMKORBANK,,TASHKENT,,,UZ,+998 71 295 90 84,,Mo-Sa 06:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
66919452,moneygram,NBU,,TASHKENT,,,UZ,+998 71 234 14 14,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66919876,moneygram,NBU,,TASHKENT,,,UZ,+998 71 234 14 14,,Mo-Fr 09:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
5e98a6b71a49dab00d1b1ffa33d548fa,western_union,NATIONAL BANK OF UZBEKISTAN,,Tashkent,,,UZ,+998 71 294 68 86,https://location.westernunion.com/uz/state/tashkent/5e98a6b71a49dab00d1b1ffa33d548fa,Mo-Fr 09:00-18:00; Sa 09:00-15:00,Western Union,Q861042
739115aa23a06cb2fe9553502a6eab7e,western_union,NATIONAL BANK OF UZBEKISTAN,,Tashkent,,,UZ,+998 71 233 19 94,https://location.westernunion.com/uz/state/tashkent/739115aa23a06cb2fe9553502a6eab7e,Mo-Fr 09:00-18:00; Sa 09:00-16:00,Western Union,Q861042
f65ad826cf7eea96f611e61eabf8bfc2,western_union,NATIONAL BANK OF UZBEKISTAN,,Tashkent,,,UZ,+998 71 233 19 72,https://location.westernunion.com/uz/state/tashkent/f65ad826cf7eea96f611e61eabf8bfc2,Mo-Fr 09:00-18:00; Sa 09:00-15:00,Western Union,Q861042
