Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
,visa,,,HAI PHONG,HAI PHONG,,VN,,,,,
0c849f8dbe5b6284c13479216e1dedf9,western_union,SHB LE DUAN CN HAI PHONG,,Hai Phong,HAI PHONG,,VN,+84 225 3576 368,https://location.westernunion.com/vn/hai-phong/hai-phong/0c849f8dbe5b6284c13479216e1dedf9,Mo-Fr 08:00-17:00; Sa 07:30-12:00,Western Union,Q861042
