Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
214be5c4b624840223b0548d603ec937,western_union,KIMB SOUQ BIN MEAILI BRANCH,,Marib,YEMEN,,YE,+967 776 359 306,https://location.westernunion.com/ye/yemen/marib/214be5c4b624840223b0548d603ec937,Mo-Su 08:00-21:00,Western Union,Q861042
b3a462624807388684dcb63694ff7a29,western_union,KIMB MARIB ALJAMEAH BRANCH,,Marib,YEMEN,,YE,(+967) 305319,https://location.westernunion.com/ye/yemen/marib/b3a462624807388684dcb63694ff7a29,Mo-Su 08:00-21:00,Western Union,Q861042
e2b10ead7bf918139615662f8752cb75,western_union,KIMB EXPRESS BRANCH,,Sanaa,YEMEN,,YE,+967 771 776 964,https://location.westernunion.com/ye/yemen/sanaa/e2b10ead7bf918139615662f8752cb75,Mo-Su 00:01-24:00,Western Union,Q861042
795dda1eea9c2fb71a01022cd5f1649b,western_union,KIMB CRATER BRANCH,,Aden,YEMEN,,YE,(+967) 202592,https://location.westernunion.com/ye/yemen/aden/795dda1eea9c2fb71a01022cd5f1649b,Mo-Su 08:00-21:00,Western Union,Q861042
6248f664cd5f2f4cb553644873fdfa51,western_union,KIMB CRATER ALMALAB BRANCH,,Aden,YEMEN,,YE,(+967) 271283,https://location.westernunion.com/ye/yemen/aden/6248f664cd5f2f4cb553644873fdfa51,Mo-Su 08:00-21:00,Western Union,Q861042
42c5ac20bd460af226acefe07d6ca75a,western_union,KIMB JAWLAT KALTEKS BRANCH,,Aden,YEMEN,,YE,(+967) 393159,https://location.westernunion.com/ye/yemen/aden/42c5ac20bd460af226acefe07d6ca75a,Mo-Su 08:00-21:00,Western Union,Q861042
1bc729da46a8581b22de5e05fb64a2eb,western_union,KIMB ALTAWAHI BRANCH,,Aden,YEMEN,,YE,(+967) 267813,https://location.westernunion.com/ye/yemen/aden/1bc729da46a8581b22de5e05fb64a2eb,Mo-Su 08:00-21:00,Western Union,Q861042
98585e43df8a284b863cd7cc8b8e9c97,western_union,KIMB JAWLAT ALBAT BRANCH,,Aden,YEMEN,,YE,(+967) 250717,https://location.westernunion.com/ye/yemen/aden/98585e43df8a284b863cd7cc8b8e9c97,Mo-Su 08:00-21:00,Western Union,Q861042
ac587943d73f65fbdf7f790089de4bd1,western_union,KIMB ALSHAB BRANCH,,Aden,YEMEN,,YE,(+967) 362525,https://location.westernunion.com/ye/yemen/aden/ac587943d73f65fbdf7f790089de4bd1,Mo-Su 08:00-21:00,Western Union,Q861042
33e685742108393ec9766276b7984105,western_union,KIMB JAWLAT ALQAHERAH BRANCH,,Aden,YEMEN,,YE,(+967) 381454,https://location.westernunion.com/ye/yemen/aden/33e685742108393ec9766276b7984105,Mo-Su 08:00-21:00,Western Union,Q861042
eef4c2e2d01ccb3491551321af77e80f,western_union,KIMB SOUQ ALTHAHAB BRANCH,,Aden,YEMEN,,YE,(+967) 389130,https://location.westernunion.com/ye/yemen/aden/eef4c2e2d01ccb3491551321af77e80f,Mo-Su 08:00-21:00,Western Union,Q861042
fdd404fe94c206d7e7c889f2de2597a3,western_union,KIMB ALTESAEEN ST BRANCH,,Aden,YEMEN,,YE,(+967) 352013,https://location.westernunion.com/ye/yemen/aden/fdd404fe94c206d7e7c889f2de2597a3,Mo-Su 08:00-21:00,Western Union,Q861042
36bdad835efe459b1140ce27e24d421a,western_union,KIMB ALSAILAH BRANCH,,Aden,YEMEN,,YE,(+967) 385057,https://location.westernunion.com/ye/yemen/aden/36bdad835efe459b1140ce27e24d421a,Mo-Su 08:00-21:00,Western Union,Q861042
b1a2aca0d99627f15abe963127a06614,western_union,KIMB ADEN ALKHAMSEEN BRANCH,,Aden,YEMEN,,YE,+967 736 222 985,https://location.westernunion.com/ye/yemen/aden/b1a2aca0d99627f15abe963127a06614,Mo-Su 08:00-21:00,Western Union,Q861042
0f47d62823f57ad499df50c9661cf66c,western_union,KIMB ALFYOOSH BRANCH,,Lahj,YEMEN,,YE,(+967) 513113,https://location.westernunion.com/ye/yemen/lahj/0f47d62823f57ad499df50c9661cf66c,Mo-Su 08:00-21:00,Western Union,Q861042
5d30c513fcf51f29f25226f48dbaa9b3,western_union,KIMB ALKARAA BRANCH,,Aden,YEMEN,,YE,(+967) 302213,https://location.westernunion.com/ye/yemen/aden/5d30c513fcf51f29f25226f48dbaa9b3,Mo-Su 08:00-21:00,Western Union,Q861042
a03231b02a2737bc75279b7a19b4f1ab,western_union,KIMB ALMEMDAREH BRANCH,,Aden,YEMEN,,YE,(+967) 334322,https://location.westernunion.com/ye/yemen/aden/a03231b02a2737bc75279b7a19b4f1ab,Mo-Su 08:00-21:00,Western Union,Q861042
f0d6a8ea1a43c7dd59fede37419e75a5,western_union,KIMB MADINAT INMAA BRANCH,,Aden,YEMEN,,YE,(+967) 368176,https://location.westernunion.com/ye/yemen/aden/f0d6a8ea1a43c7dd59fede37419e75a5,Mo-Su 08:00-21:00,Western Union,Q861042
d52482aae8ed29505e1b6e321a26dd41,western_union,KIMB ALAHAD ALSHAOOBAH BRANCH,,Taiz,YEMEN,,YE,+967 715 379 353,https://location.westernunion.com/ye/yemen/taiz/d52482aae8ed29505e1b6e321a26dd41,Mo-Su 08:00-21:00,Western Union,Q861042
d93e49bcef20c2ed0138ea6f6edeaaf1,western_union,KIMB ALAIN BRANCH,,Taiz,YEMEN,,YE,+967 777 374 241,https://location.westernunion.com/ye/yemen/taiz/d93e49bcef20c2ed0138ea6f6edeaaf1,Mo-Su 08:00-21:00,Western Union,Q861042
f98ea59c3dee0cda7ffe367b39397a49,western_union,KIMB SOUQ ALKHAMEES BRANCH,,Taiz,YEMEN,,YE,(+967) 843507,https://location.westernunion.com/ye/yemen/taiz/f98ea59c3dee0cda7ffe367b39397a49,Mo-Su 08:00-21:00,Western Union,Q861042
0b7bffc8f6fa84039eb0971c85ce4cfe,western_union,KIMB QATABAH BRANCH,,Aldhala,YEMEN,,YE,(+967) 451865,https://location.westernunion.com/ye/yemen/aldhala/0b7bffc8f6fa84039eb0971c85ce4cfe,Mo-Su 08:00-21:00,Western Union,Q861042
dfbee71e40222ce6dd32ab13f1cfc345,western_union,KIMB WADI ALQADHI BRANCH,,Taiz,YEMEN,,YE,(+967) 266239,https://location.westernunion.com/ye/yemen/taiz/dfbee71e40222ce6dd32ab13f1cfc345,Mo-Su 08:00-21:00,Western Union,Q861042
290ad14d80ed180850f28c5b0ebaa9a8,western_union,KIMB MADEENAT ALNOOR BRANCH,,Taiz,YEMEN,,YE,(+967) 244011,https://location.westernunion.com/ye/yemen/taiz/290ad14d80ed180850f28c5b0ebaa9a8,Mo-Su 08:00-21:00,Western Union,Q861042
