Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
030506,bash_za,EXACT STERKSPRUIT,,STERKSPRUIT,Eastern Cape,,ZA,,https://bash.com/store/exact-sterkspruit-9762/030506,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 09:00-14:00,Exact,Q116379381
456186,bash_za,JET STERKSPRUIT,,STERKSPRUIT,Eastern Cape,,ZA,,https://bash.com/store/jet-sterkspruit-9762/456186,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-14:00,Jet,Q61995123
025994,bash_za,MARKHAM STERKSPRUIT,,STERKSPRUIT,Eastern Cape,,ZA,,https://bash.com/store/markham-sterkspruit-9762/025994,Mo 09:00-13:00; Tu-Su 08:00-17:00,Markham,Q116378583
064465,bash_za,SNEAKER FACTORY STERKSPRUIT PLAZA,,STERKSPRUIT,Eastern Cape,,ZA,,https://bash.com/store/sneaker-factory-sterkspruit-plaza-9762/064465,Mo 09:00-14:00; Tu-Sa 08:30-17:30; Su 09:00-15:00,The Sneaker Factory,Q116290301
CG337,the_courier_guy,Sterkspruit Plaza,Sterkspruit Plaza Umlami RoadNext to Nedbank ATM,Joe Gqabi District Municipality,Eastern Cape,,ZA,,,,The Courier Guy,Q116753262
,visa,,,STERKSPRUIT,EASTERN CAPE,,ZA,,,,,
,visa,,,STERKSPRUIT,EASTERN CAPE,,ZA,,,,,
,visa,,,STERKSPRUIT,EASTERN CAPE,,ZA,,,,,
,visa,,,STERKSPRUIT,EASTERN CAPE,,ZA,,,,,
,visa,,,STERKSPRUIT,EASTERN CAPE,,ZA,,,,,
996974ebda574d3ec71c0a08d991659a,western_union,ABSA STERKSPRUIT,,Sterkspruit,EASTERN CAPE,,ZA,+27 51 611 9400,https://location.westernunion.com/za/eastern-cape/sterkspruit/996974ebda574d3ec71c0a08d991659a,Mo-Fr 08:30-15:30; Sa 08:00-13:00,Western Union,Q861042
f81721e997843acc5112574bf49080f6,western_union,ABSA STERKSPRUIT,,Sterkspruit,EASTERN CAPE,,ZA,+27 51 611 9403,https://location.westernunion.com/za/eastern-cape/sterkspruit/f81721e997843acc5112574bf49080f6,Mo-Fr 08:30-15:30; Sa 08:00-12:30,Western Union,Q861042
