Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
060755,bash_za,Totalsports Sammy Marks,,Pretoria,Gauteng,,ZA,,https://bash.com/store/totalsports-sammy-marks-0002/060755,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
000707,bash_za,The FIX - Sammy Marks,,Pretoria,Gauteng,,ZA,,https://bash.com/store/the-fix---sammy-marks-0002/000707,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
000827,bash_za,FIX KOLONADE PRETORIA,,PRETORIA,Gauteng,,ZA,,https://bash.com/store/fix-kolonade-pretoria-0002/000827,Mo 09:00-16:00; Tu-Sa 09:00-19:00; Su 09:00-18:00,The FIX,Q116379523
060814,bash_za,Sportscene Sunny Park,,Pretoria,Gauteng,,ZA,,https://bash.com/store/sportscene-sunny-park-0002/060814,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
060759,bash_za,TS KOLONNADE SHOPPING CENTRE PRETORIA,,PRETORIA,Gauteng,,ZA,,https://bash.com/store/ts-kolonnade-shopping-centre-pretoria-0002/060759,Mo 09:00-16:00; Tu-Sa 09:00-19:00; Su 09:00-18:00,Totalsports,Q116379123
009304,bash_za,The FIX - Centre Walk,,Pretoria,Gauteng,,ZA,,https://bash.com/store/the-fix---centre-walk-0002/009304,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-16:00,The FIX,Q116379523
030658,bash_za,Exact Church Street,,Pretoria,Gauteng,,ZA,,https://bash.com/store/exact-church-street-0002/030658,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 08:00-17:00,Exact,Q116379381
000630,bash_za,The FIX Church Street,,Pretoria,Gauteng,,ZA,,https://bash.com/store/the-fix-church-street-0002/000630,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 09:00-16:00,The FIX,Q116379523
000982,bash_za,Foschini Sammy Marks,,Pretoria,Gauteng,,ZA,,https://bash.com/store/foschini-sammy-marks-0002/000982,Mo 09:00-13:00; Tu-Sa 09:00-18:00; Su 08:00-17:00,Foschini,Q116391780
000981,bash_za,Foschini Lewis,,Pretoria,Gauteng,,ZA,,https://bash.com/store/foschini-lewis-0002/000981,Mo 09:00-14:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
