Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
44,baby_city,Baby City Ballito,,Durban,KwaZulu-Natal,,ZA,+27 32 586 0580,,,Baby City,Q116732888
330058,bash_za,@Home Ballito,,Dolphin Coast,KwaZulu-Natal,,ZA,,https://bash.com/store/@home-ballito-4420/330058,Mo 09:00-17:00; Tu-Su 09:00-18:00,@Home,Q116429887
459479,bash_za,JET BALLITO JUNCTION DURBAN,,DURBAN,KwaZulu-Natal,,ZA,,https://bash.com/store/jet-ballito-junction-durban-4420/459479,Mo 09:00-17:00; Tu-Su 09:00-19:00,Jet,Q61995123
514305,bash_za,VOLPES BALLITO DURBAN,,DURBAN,KwaZulu-Natal,,ZA,,https://bash.com/store/volpes-ballito-durban-4420/514305,Mo 09:00-17:00; Tu-Su 09:00-18:00,Volpes,Q116431266
45849_1,bmw_group,BMW Ballito,,Ballito,KwaZulu-Natal,,ZA,+27 32 946 5300,https://www.bmw.co.za/en/retailers-pages/bmw_ballito.html,,BMW,Q26678
BALLDRIA2R,bp,Drive In Motors,,BALLITO,KwaZulu Natal,,ZA,+27 32 946 3162,,24/7,BP,Q152057
ZA0041,hm,Ballito Junction Kids,,Durban,KwaZulu-Natal,,ZA,+27 860 690 707,,Mo-Sa 09:00-19:00; Su 09:00-17:00,H&M,Q188326
0012400000gP1LSAA0,nissan_europe,CMH Nissan Ballito,,Ballito,Kwazulu-Natal,,ZA,+27 32 946 5820,http://www.cmhnissan.co.za,Mo-Fr 08:00-17:00; Sa 08:00-12:00,Nissan,Q20165
395,the_courier_guy,Ballito,"Shop Number 28 The Quarter Ballito, Stewart Dr, Ballito, Ethekwini, 4399",Ethekwini,KwaZulu-Natal,,ZA,+27 32 586 8407,,,The Courier Guy,Q116753262
CG124,the_courier_guy,The Well Centre Ballito,"Albertina Way, BallitoOpposite LA PIZZA Restaurant",iLembe District Municipality,KwaZulu-Natal,,ZA,,,,The Courier Guy,Q116753262
K105,the_courier_guy,The Courier Guy Ballito,"The Quarter Ballito, Shop 28Stewart Drive",iLembe District Municipality,KwaZulu-Natal,,ZA,,,,The Courier Guy,Q116753262
,visa,,,BALLITO,KWAZULU-NATAL,,ZA,,,,,
,visa,,,BALLITO,KWAZULU-NATAL,,ZA,,,,,
,visa,,,BALLITO,KWAZULU-NATAL,,ZA,,,,,
,visa,,,DOLPHIN COAST/BALLITO,KWAZULU-NATAL,,ZA,,,,,
,visa,,,BALLITO,KWAZULU-NATAL,,ZA,,,,,
,visa,,,DURBAN,KWAZULU-NATAL,,ZA,,,,,
f9b12b705b69e9efe9934b544ed97e80,western_union,TOURVEST FINANCIAL SERVICES,,Ballito,KWAZULU NATAL,,ZA,+27 31 265 1585,https://location.westernunion.com/za/kwazulu-natal/ballito/f9b12b705b69e9efe9934b544ed97e80,Mo-Fr 09:00-17:00; Sa 09:00-14:00,Western Union,Q861042
ce3a1cc7f22989124ea8916311fd75c8,western_union,ABSA BALLITO,,Ballito,KWAZULU NATAL,,ZA,+27 32 946 5200,https://location.westernunion.com/za/kwazulu-natal/ballito/ce3a1cc7f22989124ea8916311fd75c8,Mo-Fr 08:30-15:30; Sa 08:00-11:00,Western Union,Q861042
