Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
452778,bash_za,JET THABAZIMBI THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/jet-thabazimbi-thabazimbi-0380/452778,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-14:00,Jet,Q61995123
015188,bash_za,STERNS THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/sterns-thabazimbi-0380/015188,Mo 00:00-00:00; Tu-Sa 09:00-17:00; Su 09:00-13:00,Sterns,Q116430300
003053,bash_za,FOSCHINI THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/foschini-thabazimbi-0380/003053,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-13:00,Foschini,Q116391780
060609,bash_za,TOTALSPORTS THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/totalsports-thabazimbi-0380/060609,Mo 00:00-00:00; Tu-Sa 08:00-17:00; Su 08:00-13:00,Totalsports,Q116379123
020554,bash_za,MARKHAM THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/markham-thabazimbi-0380/020554,Mo 09:00-13:00; Tu-Sa 09:00-17:00; Su 09:00-13:00,Markham,Q116378583
030942,bash_za,EXACT THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/exact-thabazimbi-0380/030942,Mo 08:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-13:00,Exact,Q116379381
062525,bash_za,SPORTSCENE THABAZIMBI,,THABAZIMBI,Limpopo,,ZA,,https://bash.com/store/sportscene-thabazimbi-0380/062525,Mo 09:00-13:00; Tu-Sa 08:00-17:00; Su 08:00-13:00,Sportscene,Q116378841
488,the_courier_guy,Thabazimbi,"20 Warmbad Weg Rd, Thabazimbi, 0380",Thabazimbi,Limpopo,,ZA,+27 14 772 1366,,,The Courier Guy,Q116753262
CG385,the_courier_guy,Thaba Mall,Warmbaths RoadWall by ATM's,Waterberg District Municipality,Limpopo,,ZA,,,,The Courier Guy,Q116753262
CG930,the_courier_guy,Rooiberg One Stop,1 Maroela StRooibergOutside Entrance,Waterberg District Municipality,Limpopo,,ZA,,,,The Courier Guy,Q116753262
CG1104,the_courier_guy,Thabazimbi Square Shopping Centre,Corner of Warmbaths Wayand Hamerkop StThabazimbi,Waterberg District Municipality,Limpopo,,ZA,,,,The Courier Guy,Q116753262
,visa,,,THABAZIMBI,LIMPOPO,,ZA,,,,,
