Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ZAFA03201,audi,Audi Center Paarl,"Cnr Cecilia and Nuwe Vlei Streets, 7646 Paarl",Paarl,Western Cape,,ZA,+27 87 286 3700,,,Audi,Q23317
030308,bash_za,Exact Paarl Lady Grey,,Paarl,Western Cape,,ZA,,https://bash.com/store/exact-paarl-lady-grey-7646/030308,Mo 09:00-13:00; Tu-Sa 09:00-17:30; Su 09:00-13:30,Exact,Q116379381
068770,bash_za,SNEAKER FACTORY PAARL EAST CONVENIENCE CTR,,PAARL EAST,Western Cape,,ZA,,https://bash.com/store/sneaker-factory-paarl-east-convenience-ctr-7646/068770,Mo 09:00-12:00; Tu-Sa 09:00-18:00; Su 09:00-13:00,The Sneaker Factory,Q116290301
09620_1,bmw_group,BMW Paarlberg,,Paarl,Western Cape,,ZA,+27 21 872 2076,https://www.bmw.co.za/paarlberg,,BMW,Q26678
BB15251,dsv_locker_za,DSV Locker - Engen Wemmershoek,,Suider Paarl,Western Cape,,ZA,+27 86 100 0853,,24/7,DSV Locker,Q1155771
1967,footgear_za,Footgear Paarl,53 Lady Grey St,Paarl,Western Cape,,ZA,+27 87 086 8519,https://www.footgear.co.za/stores/footgear-paarl/,,Footgear,Q116290280
49072,liquorshop_za,Checkers LiquorShop Paarl,Cnr Lady Grey And Kasteel Street,Paarl,Western Cape,,ZA,+27 21 860 3840,https://www.liquorshop.co.za/store-finder/country/ZA/49072,Mo-Fr 09:00-19:00; Sa 09:00-17:00,LiquorShop,Q5089126
36681,liquorshop_za,Checkers LiquorShop Van Der Lingen,Cnr Main and Van Der Lingen Street,Paarl,Western Cape,,ZA,+27 21 872 0658,https://www.liquorshop.co.za/store-finder/country/ZA/36681,Mo-Fr 09:00-19:00; Sa 09:00-17:00,LiquorShop,Q5089126
5e25147a-42b1-4fbf-a5aa-f8970864ba1c,nandos_za,Nando's Paarl Drive Thru,,Paarl,Western Cape,,ZA,+27 21 541 0629,https://store.nandos.co.za/details/paarl-drive-thru,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-22:00,Nando's,Q3472954
0012400000gP1LqAAK,nissan_europe,MyRide Nissan Paarl,,Paarl,Western Cape,,ZA,+27 21 870 3121,https://myride.co.za,,Nissan,Q20165
10042674,shell,GELDERBLOMS MOTORS,,PAARL,Western Cape,,ZA,+27 21 872 1797,https://find.shell.com/za/fuel/10042674-gelderbloms-motors,24/7,Shell,Q110716465
10043094,shell,MONUMENT MOTORS,,PAARL,Western Cape,,ZA,+27 21 863 1230,https://find.shell.com/za/fuel/10043094-monument-motors,24/7,Shell,Q110716465
12774077,shell,PAARL JUNCTION,,PAARL,Western Cape,,ZA,+27 79 500 1780,https://find.shell.com/za/fuel/12774077-paarl-junction,24/7,Shell,Q110716465
463,the_courier_guy,Paarl,"Hugenote Park, Unit 1, Cnr Klein Drakenstein & Van Der Merwe Road, Paarl",Paarl,Western Cape,,ZA,+27 21 877 9083,,,The Courier Guy,Q116753262
CG44,the_courier_guy,Rembrandt Mall,"Bergriver Boulevard &, Dorp Street, Paarl Next to Walton's",Cape Winelands District Municipality,Western Cape,,ZA,,,,The Courier Guy,Q116753262
CG251,the_courier_guy,Laborie Centre,"Main Road, Paarl, South AfricaBasement Parking",Cape Winelands District Municipality,Western Cape,,ZA,,,,The Courier Guy,Q116753262
K087,the_courier_guy,The Courier Guy Paarl,"Hugenote Park, Unit 1 Cnr Klein Drakenstein & Van der Merwe Road",Cape Winelands District Municipality,Western Cape,,ZA,,,,The Courier Guy,Q116753262
506,truworths,Truworths Paarl Mall,,Paarl,Western Cape,,ZA,+27 87 757 0506,,,Truworths,Q24233998
511,truworths,Truworths Paarl,,Paarl,Western Cape,,ZA,+27 81 171 0511,,,Truworths,Q24233998
510,truworths,Identity Paarl Mall,,Paarl,Western Cape,,ZA,+27 87 757 0510,,,Identity,Q116378109
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,PAARL,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,CAPE TOWN,WESTERN CAPE,,ZA,,,,,
,visa,,,PAARL,WESTERN CAPE,,ZA,,,,,
